open,close,high,low,volume,amount,absolute_price_oscillator,balance_of_power,cci,chande_momentum_oscillator,percentage_price_oscillator,macd,wr_6,rsi_6,stochastic_oscillator,tema,tr,atr
33712.77,33712.77,33714.35,30837.37,90868.348596,2114493,-0.15874999999869033,0.0,-66.66666666666667,-100.0,-0.0004349119545333906,-0.18868589743215125,0.42318587625799686,0.0,0.0,33713.30824,2883.8100000000013,2883.8100000000013
33709.02,33710.87,33713.92,30837.37,90888.191652,2114873,-0.22692459126119502,0.0006431315290906889,-58.64457086316476,-100.0,-0.0006277129358304716,-0.29934217130357865,0.48898400759086547,0.0,0.0,33710.65341892406,2876.5499999999993,2880.045555555556
33700.0,33700.01,33707.1,30837.37,90893.231924,2114981,-0.49029712537594605,3.484648382264976e-06,-123.62084239351455,-100.0,-0.001349677133492305,-0.7344308609463042,0.8650722740525393,0.0,0.0,33701.56383127747,2873.5000000000036,2877.7001645338223
33690.4,33690.41,33707.1,30837.37,90884.622911,2114914,-0.7606646762578748,3.484648382264976e-06,-105.27518741997724,-100.0,-0.002102441158973261,-1.337396022354369,1.1975259902616855,0.0,0.0,33691.677845548795,2869.7299999999996,2875.4809731100972
33683.78,33683.77,33707.1,30837.37,90922.174931,2115750,-1.0075593157744152,-3.484648382264976e-06,-96.40315820258668,-100.0,-0.0028045115231666454,-1.958651544948225,1.4274731439732784,0.0,0.0,33683.80337763134,2869.7299999999996,2874.1543169139686
33686.43,33686.44,33707.1,30837.37,90940.753934,2116065,-1.0916230186667235,3.484648382264976e-06,-72.61246854639037,-86.67664670656224,-0.0030833729799049575,-2.202376173416269,0.9701144950606616,10.490832057783791,7.137129109877788,33683.51949342912,2869.7299999999996,2873.2739084154637
33668.48,33668.48,33707.1,30837.37,90950.209272,2116183,-1.449616135640099,0.0,-115.34829665142875,-90.79944865608148,-0.004090358161361215,-3.1845638986560516,1.579670090907339,5.680513439855872,0.0,33671.224486643165,2869.7299999999996,2872.648477872266
33650.44,33650.44,33707.1,30837.37,90958.219792,2116332,-2.002524245694076,0.0,-139.4229547580647,-92.98107255519135,-0.005636767627108208,-4.711285997531377,1.9744017729889651,3.6585168607095113,0.0,33653.962587967435,2869.7299999999996,2872.1823872821637
33623.29,33623.3,33707.1,30837.37,90984.73731,2116939,-2.878249574423535,3.484648382264976e-06,-169.20621213910675,-94.82658399533945,-0.008075381011818511,-7.12372142651293,2.920135343742988,2.2272585614399816,0.0,33628.477626530024,2869.7299999999996,2871.822501710687
33626.45,33626.36,33707.1,30837.37,91042.548486,2117708,-3.3680183158758155,-3.136183543277854e-05,-127.64478953577238,-89.2171622130168,-0.009558648887581577,-8.60405795960105,2.8135051032674845,7.142262649494214,3.126277073965829,33621.40545018237,2869.7299999999996,2871.536937830816
33629.33,33631.02,33707.1,30837.37,91048.117079,2117936,-3.549951397035329,0.000588905576481081,-98.65624385877938,-81.26915449792826,-0.010255564235482765,-9.316331746922515,2.6511204886871504,14.954956969121795,7.887208827129235,33623.61721475915,2869.7299999999996,2871.3054041756827
