symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,date,time
BTCUSDT,36.15000000,0.189,19246.01248814,19140.70000000,19176.85000000,0.11420000,19176.84000000,3.18494800,19176.85000000,1.90837300,19140.70000000,19570.00000000,19028.97000000,55222.38624500,1062810735.29618541,1607926686737,1608013086737,506656148,507641553,985406,12/15/20,00:18:06
BTCUSDT,36.14000000,0.189,19246.01247045,19140.71000000,19176.85000000,0.10584300,19176.84000000,3.67861100,19176.85000000,1.71393400,19140.71000000,19570.00000000,19028.97000000,55222.69087100,1062816597.15517179,1607926687656,1608013087656,506656158,507641565,985408,12/15/20,00:18:07
BTCUSDT,31.41000000,0.164,19246.00968488,19141.19000000,19172.60000000,0.41247200,19172.29000000,0.00600000,19172.30000000,1.99126400,19141.19000000,19570.00000000,19028.97000000,55225.02874600,1062861438.09348230,1607926688703,1608013088703,506656167,507641593,985427,12/15/20,00:18:08
BTCUSDT,28.70000000,0.150,19246.01268198,19146.29000000,19174.99000000,0.06028500,19176.58000000,0.50000000,19176.59000000,0.14021100,19146.29000000,19570.00000000,19028.97000000,55223.66194100,1062835298.06185739,1607926689696,1608013089696,506656201,507641615,985415,12/15/20,00:18:09
BTCUSDT,30.29000000,0.158,19246.01239786,19146.29000000,19176.58000000,0.48549000,19176.58000000,5.44970400,19176.59000000,0.31712800,19146.29000000,19570.00000000,19028.97000000,55223.96674600,1062841148.65227294,1607926690619,1608013090619,506656204,507641622,985419,12/15/20,00:18:10
BTCUSDT,30.29000000,0.158,19246.01252579,19146.29000000,19176.58000000,0.66608800,19176.58000000,5.26910600,19176.59000000,0.41712800,19146.29000000,19570.00000000,19028.97000000,55223.95075300,1062840847.91597039,1607926691612,1608013091612,506656208,507641625,985418,12/15/20,00:18:11
BTCUSDT,30.05000000,0.157,19246.01031288,19146.30000000,19176.83000000,1.50610700,19176.83000000,4.74110800,19176.84000000,0.04208300,19146.78000000,19570.00000000,19028.97000000,55225.80113400,1062876338.16217934,1607926692562,1608013092562,506656213,507641639,985427,12/15/20,00:18:12
BTCUSDT,30.05000000,0.157,19246.01010351,19146.78000000,19176.83000000,0.12206200,19176.83000000,3.70145800,19176.84000000,0.00000800,19146.78000000,19570.00000000,19028.97000000,55226.04689900,1062881056.59507304,1607926693511,1608013093511,506656217,507641649,985433,12/15/20,00:18:13
BTCUSDT,29.46000000,0.154,19246.00805251,19145.99000000,19176.24000000,0.00739800,19176.23000000,0.00600000,19176.24000000,4.62429800,19146.78000000,19570.00000000,19028.97000000,55227.78474900,1062914390.00141027,1607926694617,1608013094617,506656228,507641664,985437,12/15/20,00:18:14
BTCUSDT,27.05000000,0.141,19246.00794030,19146.78000000,19173.83000000,0.14705100,19173.83000000,1.79572200,19173.84000000,2.66308000,19146.78000000,19570.00000000,19028.97000000,55227.94505400,1062917469.03598895,1607926695571,1608013095571,506656234,507641675,985442,12/15/20,00:18:15
BTCUSDT,27.06000000,0.141,19246.00659928,19146.78000000,19173.84000000,0.01653700,19173.83000000,1.94098500,19173.84000000,0.08346300,19146.78000000,19570.00000000,19028.97000000,55229.06312700,1062938913.41406211,1607926696593,1608013096593,506656238,507641685,985448,12/15/20,00:18:16
BTCUSDT,28.89000000,0.151,19246.00654808,19146.78000000,19175.28000000,0.06031600,19173.85000000,0.32415100,19175.29000000,1.04291800,19146.39000000,19570.00000000,19028.97000000,55229.18666600,1062941288.21890005,1607926697575,1608013097575,506656242,507641693,985452,12/15/20,00:18:17
BTCUSDT,25.51000000,0.133,19246.00461916,19146.79000000,19172.29000000,0.00272400,19172.29000000,0.00404200,19172.30000000,4.65127000,19146.78000000,19570.00000000,19028.97000000,55230.73676900,1062971014.97583883,1607926698542,1608013098542,506656253,507641710,985458,12/15/20,00:18:18
BTCUSDT,25.44000000,0.133,19246.00277631,19146.78000000,19172.22000000,0.00509200,19172.21000000,5.55514000,19172.22000000,0.00690800,19146.78000000,19570.00000000,19028.97000000,55232.17208600,1062998537.30888443,1607926699450,1608013099450,506656260,507641730,985471,12/15/20,00:18:19
BTCUSDT,24.03000000,0.125,19246.00247615,19148.19000000,19172.22000000,0.16040700,19172.22000000,3.39999200,19172.23000000,0.85000000,19148.19000000,19570.00000000,19028.97000000,55232.51144800,1063005052.09193182,1607926700385,1608013100385,506656276,507641751,985476,12/15/20,00:18:20
BTCUSDT,22.74000000,0.119,19245.99968781,19148.27000000,19171.00000000,0.00391700,19171.36000000,0.01200000,19171.37000000,4.23542500,19148.26000000,19570.00000000,19028.97000000,55234.69680800,1063046957.52286433,1607926701487,1608013101487,506656287,507641765,985479,12/15/20,00:18:21
BTCUSDT,22.48000000,0.117,19245.99916721,19148.26000000,19170.75000000,0.06045000,19170.75000000,0.05751800,19170.76000000,4.29464400,19148.27000000,19570.00000000,19028.97000000,55235.17567300,1063056145.00345812,1607926702532,1608013102532,506656295,507641782,985488,12/15/20,00:18:22
