,open,close,high,low,volume,amount,adx,absolute_price_oscillator,balance_of_power,cci,chande_momentum_oscillator,percentage_price_oscillator,macd,wr_6,rsi_6,stochastic_oscillator,tema,tr,atr
320,33642.51883786351,33642.895247115914,33707.100000000115,30837.37000000009,91055.43354773725,2117895.2221443676,48.80008346863816,-1.3670319910597755,0.0001311653892202493,93.0850341281525,24.745140676233497,-0.007722717925800904,-7.445380933575507,2.237309882260726,60.561782277922674,87.80835648350912,33643.40849859588,2869.730000000025,2869.885351053677
325,33637.3518816789,33637.96890451509,33707.10000000013,30837.370000000097,91054.37419908651,2117895.468960495,54.603730168550015,-1.2203447291867633,0.00021501076275049006,40.239041628239754,12.267505702423998,-0.007123730245972235,-6.867271268703917,2.408975599970746,50.789289361113184,68.919187162361,33640.53186242532,2869.7300000000323,2869.8741640370736
330,33627.22133902692,33628.590260129866,33707.10000000012,30837.37000000009,91049.36541049294,2117930.4316546903,52.291835957419735,-1.3609304124547634,0.00047702087058665657,-48.98032134528279,6.860303747833337,-0.007331147463533041,-7.080189999251161,2.7357883797521945,37.10929026912861,32.958472256822354,33632.42338993143,2869.7300000000323,2869.863788656066
335,33618.48561608594,33620.12023601199,33707.10000000014,30837.370000000083,91052.32683020589,2117984.871748941,54.2426907251332,-1.6855817826472048,0.0005696075679772999,-113.92221675490333,0.15200212938540084,-0.008094834138904381,-7.838566165431985,3.0309389380931964,28.724499547127493,0.48169735897221766,33622.93287156537,2869.730000000054,2869.8541651871224
340,33615.99305613587,33616.310359275594,33707.10000000012,30837.370000000086,91054.59408942715,2118028.2054559593,55.63615841614044,-2.0065521956057637,0.00011056898723003863,-135.2665010814173,-18.80163796153389,-0.008908994853125194,-8.64583054673858,3.163699746127365,25.602072975138753,0.0,33616.47262199393,2869.730000000036,2869.845238417496
345,33616.48237691653,33615.02568232628,33707.10000000012,30837.370000000097,91056.02062536242,2118062.1038944125,56.63149248103507,-2.246446643890522,-0.0005076068446327432,-137.7544180096057,-50.35295658018072,-0.00954922711259926,-9.281716590783617,3.208466220649765,24.52341213341083,0.0,33613.36834625359,2869.730000000025,2869.8369572885385
350,33614.9141405221,33612.958812146106,33707.100000000115,30837.370000000094,91055.76878109114,2118091.6417506854,53.56858427892707,-2.4447271593599,-0.0006813631860823205,-127.73685996935185,-49.82399670396533,-0.010109245129838037,-9.83827944008226,3.2804893789321428,22.678700599312307,0.0,33611.2411315085,2869.7300000000214,2869.82927456939
355,33615.61994085553,33614.36211653546,33707.100000000115,30837.370000000094,91055.65154278025,2118128.4277964523,51.38079270611675,-2.508706654636626,-0.00043830754812111987,-101.08264651660552,-33.24748369544276,-0.010319136401187414,-10.050592105639225,3.231589155240096,27.143827908504136,4.616266728451133,33611.92465370322,2869.7300000000214,2869.822146558176
360,33624.95427489636,33624.62902441134,33707.1000000001,30837.370000000097,91058.50381112343,2118151.926762761,49.81808443988692,-2.2165425550265354,-0.00011333835762145645,-21.570248721481825,-5.199599114853581,-0.009534465187811906,-9.286078595760046,2.8738235161075982,51.654670997847035,38.983306719737506,33619.95522404452,2869.730000000003,2869.8155328081466
365,33633.629948056645,33633.86701614528,33707.10000000009,30837.370000000104,91065.88202590313,2118213.686674112,48.701864249755026,-1.6954528793794452,8.260989313904049e-05,46.11387905743973,4.886392467903212,-0.008062686637185793,-7.84661684504681,2.551911986662107,64.53682889522072,69.84199695208824,33630.19154037042,2869.7299999999886,2869.80939587646
370,33631.33482967732,33631.272560542915,33707.100000000086,30837.370000000097,91067.5652342941,2118280.2307509123,38.42592222815967,-1.3551835737962392,-2.1698603841937418e-05,24.266894305095697,-15.412688370216502,-0.007027912204702172,-6.835781333924388,2.6423196418201873,59.218879462957474,61.175448630671816,33632.63217788588,2869.7299999999886,2869.803701093545
375,33635.352100087344,33634.66129705703,33707.10000000008,30837.37000000009,91068.37697121277,2118317.8209804655,30.50227414324213,-0.9820839975036506,-0.00024072056615660853,45.70943159600325,-13.354070300863048,-0.005862473257271633,-5.696307560938294,2.5242340897257454,63.883487855645754,72.49522173501889,33635.61762838511,2869.7299999999886,2869.798416351203
