symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,date,time
BTCUSDT,40.70000000,0.213,19246.12076988,19138.26000000,19179.07000000,0.00842000,19179.06000000,2.29783500,19179.07000000,3.81663100,19138.37000000,19570.00000000,19028.97000000,55232.67260900,1063014687.47629853,1607927284113,1608013684113,506660671,507647661,986991,12/15/20,00:28:04
BTCUSDT,35.12000000,0.184,19246.11852597,19138.38000000,19173.50000000,0.02408000,19174.45000000,0.00600000,19174.46000000,0.06600100,19138.38000000,19570.00000000,19028.97000000,55234.51719800,1063050064.71735824,1607927284875,1608013684875,506660702,507647686,986985,12/15/20,00:28:05
BTCUSDT,34.96000000,0.183,19246.11784341,19138.37000000,19173.34000000,0.06011000,19173.34000000,2.91101600,19173.35000000,3.33194900,19138.38000000,19570.00000000,19028.97000000,55235.08152400,1063060888.10137833,1607927286108,1608013686108,506660704,507647757,987054,12/15/20,00:28:06
BTCUSDT,35.17000000,0.184,19246.11583770,19138.38000000,19173.54000000,0.05308900,19173.54000000,1.25006800,19175.86000000,1.83869400,19138.37000000,19570.00000000,19028.97000000,55236.63150800,1063090608.48717687,1607927287361,1608013687361,506660705,507647784,987080,12/15/20,00:28:07
BTCUSDT,35.86000000,0.187,19246.11492220,19138.38000000,19174.23000000,0.12214600,19174.23000000,2.13017100,19174.24000000,1.39020200,19138.37000000,19570.00000000,19028.97000000,55237.33797700,1063104154.70187632,1607927288345,1608013688345,506660705,507647791,987087,12/15/20,00:28:08
BTCUSDT,35.03000000,0.183,19246.11439070,19138.32000000,19173.35000000,0.08475800,19173.34000000,3.05931100,19173.35000000,3.00652000,19138.32000000,19570.00000000,19028.97000000,55237.75188800,1063112091.52153920,1607927289597,1608013689597,506660709,507647804,987096,12/15/20,00:28:09
BTCUSDT,35.48000000,0.185,19246.11279549,19138.25000000,19173.73000000,0.06040300,19173.73000000,2.51430200,19173.74000000,0.00003300,19138.25000000,19570.00000000,19028.97000000,55238.98659300,1063135766.67771015,1607927290818,1608013690818,506660715,507647826,987112,12/15/20,00:28:10
BTCUSDT,37.29000000,0.195,19246.11287714,19137.42000000,19174.71000000,0.06000300,19174.71000000,5.08818100,19174.72000000,3.20000000,19137.42000000,19570.00000000,19028.97000000,55239.10277400,1063138007.22056712,1607927292108,1608013692108,506660730,507647839,987110,12/15/20,00:28:12
BTCUSDT,37.30000000,0.195,19246.11283926,19137.42000000,19174.72000000,0.00085800,19174.71000000,0.92982600,19174.72000000,3.29531800,19137.42000000,19570.00000000,19028.97000000,55239.14292000,1063138777.78236273,1607927293045,1608013693045,506660735,507647841,987107,12/15/20,00:28:13
BTCUSDT,37.30000000,0.195,19246.11014725,19137.42000000,19174.71000000,2.10000000,19174.71000000,0.13500000,19174.72000000,3.33065900,19137.41000000,19570.00000000,19028.97000000,55241.23175800,1063178831.08404719,1607927294042,1608013694042,506660738,507647847,987110,12/15/20,00:28:14
BTCUSDT,36.69000000,0.192,19246.11010522,19137.41000000,19174.70000000,0.25779900,19174.69000000,0.00600000,19174.70000000,4.28550000,19138.01000000,19570.00000000,19028.97000000,55241.34155700,1063180941.96585249,1607927294233,1608013694233,506660739,507647851,987113,12/15/20,00:28:15
BTCUSDT,36.98000000,0.193,19246.11005420,19137.71000000,19174.69000000,0.00600000,19173.92000000,0.01200000,19173.93000000,5.21363600,19137.71000000,19570.00000000,19028.97000000,55241.40465700,1063182153.57742928,1607927296508,1608013696508,506660744,507647856,987113,12/15/20,00:28:16
BTCUSDT,36.52000000,0.191,19246.11165464,19137.42000000,19173.93000000,0.01029800,19173.92000000,0.01142800,19173.93000000,5.20333800,19137.41000000,19570.00000000,19028.97000000,55240.59317800,1063166624.17240594,1607927297766,1608013697766,506660751,507647858,987108,12/15/20,00:28:17
BTCUSDT,36.50000000,0.191,19246.11185438,19137.42000000,19173.92000000,0.00060900,19173.92000000,0.01081900,19173.93000000,5.20333800,19137.42000000,19570.00000000,19028.97000000,55240.49187700,1063164685.55583816,1607927298249,1608013698249,506660755,507647859,987105,12/15/20,00:28:18
BTCUSDT,36.13000000,0.189,19246.11278152,19137.41000000,19173.54000000,0.01671900,19173.54000000,0.12859200,19173.55000000,5.33069300,19137.41000000,19570.00000000,19028.97000000,55240.05593700,1063156346.62113129,1607927299778,1608013699778,506660763,507647870,987108,12/15/20,00:28:19
BTCUSDT,37.35000000,0.195,19246.11307211,19137.37000000,19174.72000000,0.00071400,19174.71000000,6.32251000,19174.72000000,0.01128600,19137.37000000,19570.00000000,19028.97000000,55239.93811300,1063154095.01890407,1607927300718,1608013700718,506660769,507647877,987109,12/15/20,00:28:20
BTCUSDT,39.16000000,0.205,19246.11394292,19135.55000000,19174.72000000,0.01555200,19174.71000000,1.92928600,19174.72000000,3.28173100,19135.56000000,19570.00000000,19028.97000000,55239.50458900,1063145799.47038475,1607927301780,1608013701780,506660787,507647882,987096,12/15/20,00:28:21
BTCUSDT,39.17000000,0.205,19246.11440915,19135.56000000,19174.72000000,0.01867900,19174.51000000,0.01200000,19174.52000000,4.11513900,19135.55000000,19570.00000000,19028.97000000,55239.27274000,1063141363.03238763,1607927302256,1608013702256,506660794,507647883,987090,12/15/20,00:28:22
BTCUSDT,39.49000000,0.206,19246.11561653,19134.33000000,19173.83000000,0.07702600,19173.82000000,0.09804800,19173.83000000,3.60734200,19134.34000000,19570.00000000,19028.97000000,55238.72102400,1063130811.33712771,1607927303738,1608013703738,506660824,507647891,987068,12/15/20,00:28:23
BTCUSDT,37.47000000,0.196,19246.11569107,19136.37000000,19173.83000000,0.02548900,19173.82000000,0.09298800,19173.83000000,3.33363300,19136.36000000,19570.00000000,19028.97000000,55238.72240600,1063130842.05291950,1607927304725,1608013704725,506660839,507647895,987057,12/15/20,00:28:24
BTCUSDT,37.29000000,0.195,19246.11428079,19136.37000000,19173.65000000,0.10110500,19173.64000000,0.01200000,19173.65000000,5.68978400,19136.36000000,19570.00000000,19028.97000000,55239.98443100,1063155053.22787915,1607927305621,1608013705621,506660843,507647906,987064,12/15/20,00:28:25
BTCUSDT,37.00000000,0.193,19246.11426728,19136.36000000,19173.36000000,0.00419100,19173.35000000,0.88009800,19173.36000000,5.52090500,19136.36000000,19570.00000000,19028.97000000,55240.10871800,1063157444.52361124,1607927306337,1608013706337,506660848,507647915,987068,12/15/20,00:28:26
BTCUSDT,37.00000000,0.193,19246.11463909,19136.36000000,19173.36000000,0.00256300,19173.35000000,0.87907800,19173.36000000,5.47166300,19136.36000000,19570.00000000,19028.97000000,55239.95650100,1063154535.47686192,1607927307519,1608013707519,506660849,507647918,987070,12/15/20,00:28:27
BTCUSDT,36.98000000,0.193,19246.11451556,19136.36000000,19173.35000000,0.09907900,19173.35000000,0.77999900,19173.36000000,5.47103800,19136.37000000,19570.00000000,19028.97000000,55240.05228000,1063156372.02634357,1607927307924,1608013707924,506660850,507647920,987071,12/15/20,00:28:28
BTCUSDT,36.98000000,0.193,19246.11432879,19136.37000000,19173.35000000,0.09843200,19173.35000000,0.63764000,19173.36000000,5.41190400,19136.37000000,19570.00000000,19028.97000000,55240.19621800,1063159131.95662732,1607927309391,1608013709391,506660854,507647926,987073,12/15/20,00:28:29
BTCUSDT,37.00000000,0.193,19246.11381801,19136.37000000,19173.36000000,0.29259200,19173.35000000,2.20821800,19173.36000000,5.11931200,19136.36000000,19570.00000000,19028.97000000,55240.58533100,1063166592.65388663,1607927310626,1608013710626,506660857,507647928,987072,12/15/20,00:28:30
BTCUSDT,36.99000000,0.193,19246.11291578,19136.36000000,19173.35000000,0.09908000,19173.35000000,0.82072700,19173.36000000,4.53183800,19136.36000000,19570.00000000,19028.97000000,55241.27088400,1063179737.04440091,1607927311369,1608013711369,506660858,507647931,987074,12/15/20,00:28:31
BTCUSDT,36.99000000,0.193,19246.11277492,19136.36000000,19173.36000000,0.03909100,19173.35000000,0.92486200,19173.36000000,4.53079700,19136.37000000,19570.00000000,19028.97000000,55241.37866700,1063181803.66723031,1607927312442,1608013712442,506660859,507647935,987077,12/15/20,00:28:32
BTCUSDT,34.25000000,0.179,19246.11193400,19137.39000000,19171.64000000,0.05078700,19171.64000000,0.05221300,19173.35000000,4.43434700,19137.39000000,19570.00000000,19028.97000000,55242.07182200,1063195097.75236739,1607927313586,1608013713586,506660862,507647948,987087,12/15/20,00:28:33
BTCUSDT,34.41000000,0.180,19246.11271509,19137.24000000,19171.65000000,0.20578500,19171.64000000,0.64272900,19171.65000000,3.60287200,19137.24000000,19570.00000000,19028.97000000,55242.21537900,1063197903.81541377,1607927314431,1608013714431,506660866,507647969,987104,12/15/20,00:28:34
BTCUSDT,35.58000000,0.186,19246.11256907,19136.06000000,19171.64000000,0.18242600,19171.64000000,0.39948600,19171.65000000,7.19368400,19136.06000000,19570.00000000,19028.97000000,55242.36741600,1063200821.87050437,1607927315655,1608013715655,506660872,507647975,987104,12/15/20,00:28:35
BTCUSDT,33.92000000,0.177,19246.11194404,19136.06000000,19169.98000000,0.00930000,19169.97000000,0.00600000,19169.98000000,2.45636200,19136.06000000,19570.00000000,19028.97000000,55242.83530700,1063209792.42492607,1607927316624,1608013716624,506660874,507647997,987124,12/15/20,00:28:36
BTCUSDT,29.31000000,0.153,19246.11161610,19136.05000000,19165.37000000,0.00375000,19165.36000000,0.01500000,19165.37000000,5.44539500,19136.06000000,19570.00000000,19028.97000000,55243.25155800,1063217785.52147194,1607927317987,1608013717987,506660878,507648026,987149,12/15/20,00:28:38
BTCUSDT,27.22000000,0.142,19246.11085585,19136.05000000,19163.28000000,0.00391300,19163.27000000,0.36432400,19163.28000000,4.16671200,19136.06000000,19570.00000000,19028.97000000,55243.82259900,1063228733.84134589,1607927318997,1608013718997,506660881,507648055,987175,12/15/20,00:28:39
BTCUSDT,27.16000000,0.142,19246.11030864,19136.06000000,19163.22000000,0.06165500,19163.22000000,0.54434500,19163.23000000,4.76531800,19136.06000000,19570.00000000,19028.97000000,55244.22318500,1063236413.33377805,1607927320009,1608013720009,506660885,507648069,987185,12/15/20,00:28:40
